,日付,売上合計(円),ペールエール(本),ペールエール(円),ラガー(本),ラガー(円),IPA(本),IPA(円),ホワイトビール(本),ホワイトビール(円),黒ビール(本),黒ビール(円),フルーツビール(本),フルーツビール(円),降水量,平均気温,平均湿度,平均風速,weekday_土,weekday_月,weekday_木,weekday_水,weekday_火,weekday_金,total_beers_sold,昼の天気,夜の天気
134,2024-09-04,29900,6,6000,9,7200,4,3600,5,4500,3,3600,5,5000,0.0,25.4,76,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,32,晴時々曇,晴
135,2024-09-05,19900,5,5000,4,3200,3,2700,4,3600,2,2400,3,3000,0,26.7,76,2.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21,晴,晴一時曇
136,2024-09-06,51200,12,12000,13,10400,8,7200,10,9000,3,3600,9,9000,0,28.3,78,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,55,晴一時薄曇,晴後一時曇
137,2024-09-07,33700,6,6000,10,8000,6,5400,5,4500,4,4800,5,5000,0,28.7,80,2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,36,晴後一時薄曇,晴
138,2024-09-09,20600,5,5000,6,4800,4,3600,4,3600,3,3600,0,0,2.5,28.3,80,2.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,晴,晴時々曇一時雨
139,2024-09-10,24500,6,6000,6,4800,5,4500,4,3600,3,3600,2,2000,0,28.6,82,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26,晴,晴一時曇
140,2024-09-11,24900,5,5000,8,6400,5,4500,6,5400,3,3600,0,0,0,29.6,79,3.0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,27,晴,晴後一時曇
141,2024-09-12,28800,6,6000,7,5600,5,4500,7,6300,2,2400,4,4000,0,29.6,79,3.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31,晴,晴
142,2024-09-13,34500,7,7000,10,8000,6,5400,5,4500,3,3600,6,6000,0,29.6,73,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,37,晴,晴
143,2024-09-14,20400,4,4000,6,4800,4,3600,4,3600,2,2400,2,2000,0,29.5,74,4.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,晴,晴後一時曇
144,2024-09-16,24600,5,5000,6,4800,4,3600,4,3600,3,3600,4,4000,2.0,25.7,89,2.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,曇一時雨,曇
145,2024-09-17,20900,6,6000,5,4000,3,2700,2,1800,2,2400,4,4000,0,27.7,79,2.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,22,晴一時曇,晴時々曇
146,2024-09-18,14800,3,3000,4,3200,3,2700,3,2700,1,1200,2,2000,2.5,28.8,82,2.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,晴後曇一時雨,曇時々雨一時晴、雷を伴う
147,2024-09-19,21200,4,4000,7,5600,4,3600,4,3600,2,2400,2,2000,0.0,27.7,84,1.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,薄曇一時雨、雷を伴う,曇後一時晴
148,2024-09-20,39000,7,7000,10,8000,9,8100,7,6300,3,3600,6,6000,0.0,29.4,77,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,42,晴後一時薄曇,晴時々薄曇
149,2024-09-21,22200,4,4000,6,4800,6,5400,4,3600,2,2400,2,2000,0.0,28.5,76,3.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,薄曇,曇時々雨
150,2024-09-23,18200,4,4000,4,3200,3,2700,3,2700,3,3600,2,2000,8.0,22.6,79,3.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,19,晴時々曇一時雨,晴
151,2024-09-24,26500,7,7000,7,5600,4,3600,3,2700,3,3600,4,4000,0,20.9,68,3.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28,晴時々曇,晴後一時曇
152,2024-09-25,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,4.5,20.4,82,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,13,曇時々雨,雨時々曇
153,2024-09-26,21600,7,7000,6,4800,4,3600,2,1800,2,2400,2,2000,0.5,24.1,82,2.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,晴時々曇,曇後一時雨
154,2024-09-27,31600,7,7000,8,6400,4,3600,4,3600,5,6000,5,5000,8.0,23.3,95,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,33,雨時々曇,曇時々雨
155,2024-09-28,30700,8,8000,6,4800,6,5400,5,4500,5,6000,2,2000,0,24.0,84,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32,曇,曇
156,2024-09-30,15300,5,5000,3,2400,3,2700,2,1800,2,2400,1,1000,0.0,22.7,76,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,曇時々雨,曇時々晴
157,2024-10-01,15200,4,4000,4,3200,2,1800,2,1800,2,2400,2,2000,0.5,23.3,81,2.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,曇一時雨,晴一時曇
158,2024-10-02,29400,6,6000,7,5600,4,3600,4,3600,3,3600,7,7000,0.0,26.5,77,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,31,晴時々薄曇,曇時々雨一時晴
159,2024-10-03,16000,3,3000,5,4000,2,1800,2,1800,2,2400,3,3000,11.0,23.1,87,2.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,曇時々雨,曇時々雨
160,2024-10-04,25000,5,5000,7,5600,5,4500,5,4500,2,2400,3,3000,2.0,25.9,87,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,27,曇一時雨,曇後一時雨
161,2024-10-05,14300,3,3000,3,2400,3,2700,2,1800,2,2400,2,2000,9.5,21.3,94,2.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,雨一時曇,雨後曇
162,2024-10-07,27100,4,4000,7,5600,4,3600,5,4500,2,2400,7,7000,0.0,25.0,83,2.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29,晴時々曇,雨時々曇一時晴
163,2024-10-08,8500,2,2000,2,1600,2,1800,1,900,1,1200,1,1000,33.5,18.8,97,3.0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9,雨,大雨
164,2024-10-09,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,53.5,16.0,93,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,雨後一時曇,晴時々曇
165,2024-10-10,11200,3,3000,3,2400,2,1800,2,1800,1,1200,1,1000,0.0,17.8,75,2.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12,曇,晴時々薄曇
166,2024-10-11,31000,7,7000,8,6400,5,4500,5,4500,3,3600,5,5000,0,19.0,69,1.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,33,薄曇,晴一時薄曇
167,2024-10-12,30400,8,8000,6,4800,6,5400,6,5400,4,4800,2,2000,0,20.6,73,1.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,32,晴,快晴
168,2024-10-14,20900,6,6000,4,3200,4,3600,3,2700,2,2400,3,3000,0,20.8,71,2.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,晴,晴時々曇
169,2024-10-15,19600,6,6000,6,4800,3,2700,3,2700,2,2400,1,1000,0,22.1,72,2.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,21,晴,晴後一時薄曇
170,2024-10-16,21000,4,4000,5,4000,3,2700,3,2700,3,3600,4,4000,0.0,22.6,76,1.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,22,曇,曇
171,2024-10-17,21100,5,5000,5,4000,3,2700,2,1800,3,3600,4,4000,0.0,22.8,79,2.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,22,曇一時雨,薄曇
172,2024-10-18,22600,5,5000,5,4000,4,3600,4,3600,2,2400,4,4000,2.0,21.6,92,1.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,24,曇時々雨,雨時々曇
173,2024-10-19,14900,3,3000,4,3200,2,1800,3,2700,1,1200,3,3000,1.5,24.2,84,2.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,曇,曇時々雨
174,2024-10-21,12200,3,3000,3,2400,2,1800,2,1800,1,1200,2,2000,0.0,16.2,61,2.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,13,晴時々曇,晴時々曇
175,2024-10-22,29300,6,6000,7,5600,5,4500,6,5400,4,4800,3,3000,0.0,19.7,69,1.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,31,晴時々曇,曇
176,2024-10-23,21700,5,5000,5,4000,4,3600,3,2700,2,2400,4,4000,6.5,21.9,90,2.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,23,曇時々雨,曇
177,2024-10-24,16300,3,3000,3,2400,2,1800,3,2700,2,2400,4,4000,0.0,22.6,79,2.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,曇一時晴,曇後一時雨
178,2024-10-25,40300,9,9000,10,8000,7,6300,4,3600,7,8400,5,5000,0.5,20.2,77,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,42,曇一時雨,曇
179,2024-10-26,24800,6,6000,6,4800,5,4500,3,2700,4,4800,2,2000,0,19.0,80,1.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26,曇,曇後一時晴
180,2024-10-28,11000,3,3000,4,3200,2,1800,2,1800,1,1200,0,0,8.0,18.8,87,1.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,曇一時雨,曇後時々雨
181,2024-10-29,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,24.5,15.4,79,2.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,曇後雨,大雨
182,2024-10-30,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,17.5,16.8,79,3.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,雨後薄曇,晴時々薄曇
183,2024-10-31,17800,5,5000,6,4800,2,1800,2,1800,2,2400,2,2000,0,16.2,65,2.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,19,薄曇,薄曇時々晴
184,2024-11-01,45700,11,11000,14,11200,9,8100,8,7200,6,7200,1,1000,0.5,17.0,76,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49,曇一時晴,雨一時曇
185,2024-11-02,4800,1,1000,1,800,1,900,1,900,1,1200,0,0,33.5,16.0,99,1.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,雨,雨後曇
186,2024-11-04,19800,6,6000,6,4800,3,2700,3,2700,3,3600,0,0,0,17.2,71,2.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,晴,快晴
187,2024-11-05,26800,6,6000,5,4000,4,3600,4,3600,3,3600,6,6000,0.0,16.6,73,2.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,28,曇一時晴,曇後一時雨
188,2024-11-06,18300,5,5000,4,3200,3,2700,2,1800,3,3600,2,2000,0.5,14.4,71,2.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19,曇後一時晴,晴一時曇
189,2024-11-07,30100,8,8000,5,4000,4,3600,5,4500,5,6000,4,4000,0,13.4 ),52 ),3.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,31,快晴,晴一時曇
190,2024-11-08,28700,7,7000,8,6400,4,3600,5,4500,6,7200,0,0,0,11.8,57,2.1 ),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,晴一時曇,快晴
191,2024-11-09,27100,7,7000,6,4800,5,4500,4,3600,6,7200,0,0,0,12.7,63,2.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,28,晴後時々曇,曇
192,2024-11-11,21100,6,6000,4,3200,4,3600,3,2700,3,3600,2,2000,0.5,16.3,85,1.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,曇時々晴,快晴
193,2024-11-12,30500,8,8000,9,7200,5,4500,4,3600,6,7200,0,0,0,16.3,77,1.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32,晴時々曇,晴時々曇
194,2024-11-13,24600,8,8000,6,4800,5,4500,3,2700,3,3600,1,1000,0,16.5,63,2.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26,晴,曇時々晴
195,2024-11-14,39200,9,9000,8,6400,7,6300,5,4500,5,6000,7,7000,0.0,15.8,69,1.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,41,曇一時晴,曇後一時雨
196,2024-11-15,28600,7,7000,6,4800,5,4500,3,2700,3,3600,6,6000,7.5,15.9,91,1.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,曇一時雨,曇後一時晴
197,2024-11-16,14200,4,4000,3,2400,4,3600,2,1800,2,2400,0,0,0.0,16.7,75,2.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,曇,曇時々雨
198,2024-11-18,24900,5,5000,5,4000,3,2700,4,3600,3,3600,6,6000,0.0,13.7,58,3.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,曇時々雨後一時晴,曇時々晴
199,2024-11-19,31300,9,9000,7,5600,4,3600,3,2700,7,8400,2,2000,0,9.7,48,3.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,32,晴,曇時々晴
200,2024-11-20,7600,2,2000,2,1600,1,900,1,900,1,1200,1,1000,5.5,7.6,82,2.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,8,雨時々曇,雨
201,2024-11-21,21700,5,5000,6,4800,4,3600,3,2700,3,3600,2,2000,6.5,10.5,98,1.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,23,雨時々曇一時晴,快晴
202,2024-11-22,31900,8,8000,6,4800,5,4500,4,3600,5,6000,5,5000,0,11.9,82,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,33,晴,晴一時曇
203,2024-11-23,7800,2,2000,2,1600,1,900,1,900,2,2400,0,0,0,12.0,48,3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8,晴,曇時々晴
204,2024-11-25,25700,7,7000,4,3200,3,2700,4,3600,6,7200,2,2000,0,9.9,58,2.0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,26,快晴,晴
205,2024-11-26,16400,3,3000,4,3200,2,1800,2,1800,3,3600,3,3000,8.5,10.0,70,2.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,17,晴後曇,雨時々曇
206,2024-11-27,5800,2,2000,1,800,1,900,1,900,1,1200,0,0,18.0,14.5,79,2.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6,晴時々曇,快晴
207,2024-11-28,27900,7,7000,7,5600,5,4500,4,3600,6,7200,0,0,0,13.2,45,2.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,29,快晴,快晴
208,2024-11-29,50900,13,13000,9,7200,8,7200,7,6300,11,13200,4,4000,0,11.4,44,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,晴,快晴
209,2024-11-30,30400,6,6000,5,4000,4,3600,4,3600,6,7200,6,6000,0,10.4,54,2.0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31,快晴,快晴
210,2024-12-02,20100,6,6000,5,4000,3,2700,2,1800,3,3600,2,2000,0,11.4,72,1.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,晴一時曇,晴
211,2024-12-03,28400,6,6000,5,4000,5,4500,3,2700,6,7200,4,4000,0,11.9,77,1.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,29,快晴,晴後一時曇
212,2024-12-04,31800,7,7000,6,4800,7,6300,3,2700,5,6000,5,5000,0,12.7,60,2.0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,33,晴一時薄曇,曇時々晴
213,2024-12-05,14600,4,4000,3,2400,2,1800,2,1800,3,3600,1,1000,0,11.5,55,1.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,薄曇時々晴,晴
214,2024-12-06,47100,10,10000,11,8800,8,7200,7,6300,9,10800,4,4000,0,11.0,51,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,49,快晴,晴
215,2024-12-07,15700,3,3000,3,2400,2,1800,1,900,3,3600,4,4000,0.0,8.9,55,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,晴後一時曇,晴時々薄曇
216,2024-12-09,15800,5,5000,3,2400,3,2700,1,900,4,4800,0,0,0,7.7,46,2.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,快晴,晴後一時曇
217,2024-12-10,29100,8,8000,5,4000,7,6300,2,1800,5,6000,3,3000,0,8.5,53,1.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,快晴,晴後曇
218,2024-12-11,10700,3,3000,2,1600,2,1800,1,900,2,2400,1,1000,0,8.7,52,2.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,薄曇後晴,晴
219,2024-12-12,19400,5,5000,4,3200,2,1800,2,1800,3,3600,4,4000,0,7.1,40,3.0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,晴,晴
220,2024-12-13,30600,9,9000,6,4800,3,2700,3,2700,7,8400,3,3000,0.0,5.3,53,1.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31,薄曇一時晴,曇時々晴
221,2024-12-14,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,0.0,7.2,44,3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9,晴,快晴
222,2024-12-16,21700,5,5000,3,2400,3,2700,2,1800,4,4800,5,5000,0,7.7,58,1.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,快晴,快晴
223,2024-12-17,21200,6,6000,4,3200,5,4500,3,2700,4,4800,0,0,0,8.0,61,1.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,22,快晴,快晴
224,2024-12-18,17700,3,3000,3,2400,3,2700,2,1800,4,4800,3,3000,0,7.6,55,2.4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,晴時々薄曇,晴後曇時々雨、あられを伴う
225,2024-12-19,20300,6,6000,5,4000,3,2700,2,1800,4,4800,1,1000,0.5,5.2,61,2.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,21,晴時々雨一時雪、あられを伴う,快晴
226,2024-12-20,31800,7,7000,6,4800,7,6300,5,4500,6,7200,2,2000,0,6.5,58,1.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,33,薄曇一時晴,曇後晴
227,2024-12-21,14600,2,2000,3,2400,2,1800,2,1800,3,3600,3,3000,0.0,9.4,61,3.4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,晴,快晴
228,2024-12-23,20500,5,5000,3,2400,3,2700,2,1800,3,3600,5,5000,0,6.1,40,2.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,快晴,快晴
229,2024-12-24,24900,6,6000,5,4000,6,5400,3,2700,4,4800,2,2000,0,6.7,47,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26,快晴,快晴
230,2024-12-25,25400,7,7000,6,4800,4,3600,2,1800,6,7200,1,1000,0,7.7,46,2.5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,26,曇時々晴,薄曇一時晴
231,2024-12-26,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,0,8.9,54,1.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,晴,晴
232,2024-12-27,30400,6,6000,6,4800,6,5400,4,3600,8,9600,1,1000,0,7.4,51,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,31,晴後一時曇,晴
233,2024-12-28,16900,4,4000,5,4000,3,2700,2,1800,2,2400,2,2000,0.0,5.4,59,1.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,18,晴後一時曇,快晴
234,2024-12-30,18800,4,4000,3,2400,4,3600,2,1800,5,6000,1,1000,0,6.2,53,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,19,薄曇一時晴,薄曇
235,2024-12-31,35900,11,11000,7,5600,8,7200,3,2700,7,8400,1,1000,0,8.0,55,2.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,37,晴時々曇,快晴
236,2025-01-01,15300,3,3000,4,3200,3,2700,2,1800,3,3600,1,1000,0,7.1,37,2.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,快晴,快晴
237,2025-01-02,29000,6,6000,6,4800,5,4500,3,2700,5,6000,5,5000,0,7.8,52,1.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,30,晴後一時曇,晴後一時曇
238,2025-01-03,23200,6,6000,4,3200,4,3600,2,1800,3,3600,5,5000,0.0,5.5,76,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,24,曇時々雨後一時晴,曇時々晴
239,2025-01-04,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,0,5.1,53,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13,快晴,晴一時曇
240,2025-01-06,5800,1,1000,1,800,1,900,1,900,1,1200,1,1000,25.0,4.5,75,1.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,曇後雨,雨時々晴一時曇
241,2025-01-07,15400,4,4000,4,3200,2,1800,2,1800,3,3600,1,1000,0.0,8.1,72,2.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,16,雨一時曇後晴,快晴
242,2025-01-08,9800,2,2000,2,1600,1,900,1,900,2,2400,2,2000,0,6.6,40,2.3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,晴,晴後一時薄曇
243,2025-01-09,13400,4,4000,3,2400,2,1800,2,1800,2,2400,1,1000,0,6.7,37,3.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,14,快晴,快晴
244,2025-01-10,27500,7,7000,4,3200,4,3600,3,2700,5,6000,5,5000,0,4.6,35,3.3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,28,快晴,快晴
245,2025-01-11,19400,6,6000,4,3200,2,1800,2,1800,3,3600,3,3000,0,5.3,42,2.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,晴,晴後薄曇
246,2025-01-13,16500,4,4000,3,2400,3,2700,2,1800,3,3600,2,2000,0,6.9,51,3.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17,快晴,快晴
247,2025-01-14,25200,6,6000,4,3200,4,3600,4,3600,4,4800,4,4000,0,6.4,56,1.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,26,晴,晴
248,2025-01-15,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,0,7.6,52,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,晴後一時薄曇,快晴
249,2025-01-16,14300,3,3000,4,3200,3,2700,2,1800,3,3600,0,0,0,4.6,50,2.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,曇後一時晴,快晴
250,2025-01-17,28200,6,6000,6,4800,3,2700,3,2700,5,6000,6,6000,0,4.9,44,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,29,快晴,晴
251,2025-01-18,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,0,4.6,47,2.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,晴,晴後曇
252,2025-01-20,16600,3,3000,3,2400,4,3600,2,1800,4,4800,1,1000,0.5,9.2,72,1.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,17,晴一時雨,曇一時雨
253,2025-01-21,22300,5,5000,4,3200,4,3600,3,2700,4,4800,3,3000,0.0,9.4,70,2.1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,23,晴時々曇,晴時々曇
254,2025-01-22,10700,4,4000,2,1600,2,1800,1,900,2,2400,0,0,0,8.2,46,2.1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,11,快晴,晴時々曇
255,2025-01-23,25600,5,5000,4,3200,2,1800,4,3600,5,6000,6,6000,0,8.5,62,1.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26,曇後晴,快晴
256,2025-01-24,34000,7,7000,6,4800,5,4500,5,4500,6,7200,6,6000,0.5,9.2,64,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,35,晴後一時曇,曇時々雨
257,2025-01-25,24500,5,5000,4,3200,4,3600,3,2700,5,6000,4,4000,0.0,6.8,70,2.3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,曇時々晴,快晴
258,2025-01-27,20400,5,5000,5,4000,4,3600,2,1800,5,6000,0,0,0,6.4,55,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,21,曇一時晴,晴後曇一時雨
259,2025-01-28,12700,3,3000,3,2400,2,1800,1,900,3,3600,1,1000,0.0,8.4,52,1.9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13,晴,晴一時曇
260,2025-01-29,6800,2,2000,1,800,1,900,1,900,1,1200,1,1000,0,7.0,38,2.9,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,7,快晴,快晴
261,2025-01-30,12600,3,3000,2,1600,2,1800,2,1800,2,2400,2,2000,0,6.5,41,1.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,13,快晴,快晴
262,2025-01-31,19100,4,4000,5,4000,3,2700,2,1800,3,3600,3,3000,0,7.1,38,2.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20,快晴,晴
263,2025-02-01,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,0.0,7.5,49,1.8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12,晴後曇,曇後雨
264,2025-02-03,21700,6,6000,5,4000,3,2700,2,1800,6,7200,0,0,0.0,6.1,74,1.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,22,曇,曇時々晴
265,2025-02-04,11500,3,3000,3,2400,2,1800,1,900,2,2400,1,1000,0.0,6.0,55,2.8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,晴時々曇,快晴
266,2025-02-05,8800,2,2000,2,1600,1,900,1,900,2,2400,1,1000,0,4.1,41,3.2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,9,晴,快晴
267,2025-02-06,11700,3,3000,2,1600,2,1800,1,900,2,2400,2,2000,0,4.0,37,2.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,12,晴,晴後一時薄曇
268,2025-02-07,22300,6,6000,5,4000,2,1800,3,2700,4,4800,3,3000,0,4.9,35,2.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,23,晴,快晴
269,2025-02-08,15500,3,3000,2,1600,3,2700,2,1800,2,2400,4,4000,0,4.6,38,4.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,16,快晴,快晴
270,2025-02-10,36200,8,8000,9,7200,6,5400,4,3600,5,6000,6,6000,0,5.5,41,2.2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,38,快晴,快晴
271,2025-02-11,9800,2,2000,2,1600,1,900,1,900,2,2400,2,2000,0,5.1,43,3.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,快晴,快晴
272,2025-02-12,18300,5,5000,3,2400,3,2700,2,1800,2,2400,4,4000,0,7.2,55,2.8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,19,晴時々薄曇,晴時々曇
273,2025-02-13,19400,5,5000,4,3200,4,3600,2,1800,4,4800,1,1000,0.0,7.4,43,4.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,快晴,晴後曇
